company_name,company_industry,employee_count_range,city,platform
Morning Brew,Online Audio and Video Media,201-500,New York,lever
Freedom Solar Power,Solar Electric Power Generation,201-500,Austin,lever
HUMAN,Computer and Network Security,201-500,New York,lever
Veeva,IT Services and IT Consulting,"5001-10,000",Pleasanton,lever
SugarCRM,Software Development,501-1000,San Francisco,lever
Zeno Group,Public Relations and Communications Services,501-1000,New York,lever
ASAPP,"Technology, Information and Internet",201-500,New York,lever
Starburst,Software Development,501-1000,Boston,lever
Recurly,Software Development,201-500,San Francisco,lever
Filevine,Software Development,501-1000,Salt Lake City,lever
Toll International LLC,Construction,11-50,New York,lever
Level AI,Software Development,51-200,Mountain View,lever
BDG,Online Audio and Video Media,501-1000,New York,lever
ARSIEM Corporation,IT Services and IT Consulting,11-50,Baltimore,lever
Charm Industrial,Environmental Services,51-200,San Francisco,lever
Darwin Homes,Real Estate,51-200,Austin,lever
Sanctuary AI,Software Development,51-200,Chico,lever
Karius,Biotechnology Research,51-200,Redwood City,lever
Nomi Health,Hospitals and Health Care,201-500,Orem,lever
Riveron,Business Consulting and Services,501-1000,Dallas,lever
Odaseva,IT Services and IT Consulting,51-200,San Francisco,lever
Guidewire,IT Services and IT Consulting,1001-5000,San Mateo,lever
Zipongo,Wellness and Fitness Services,51-200,San Francisco,lever
Democratic National Committee,Political Organizations,501-1000,Washington,lever
Offchain Labs,Software Development,51-200,New York,lever
Baller TV,Broadcast Media Production and Distribution,201-500,Pasadena,lever
Safe Security,Computer and Network Security,501-1000,Palo Alto,lever
NimbleRx,Software Development,51-200,Redwood City,lever
ChowNow,"Technology, Information and Internet",501-1000,Culver City,lever
Lab49,Financial Services,201-500,New York,lever
Titan Electric,Construction,501-1000,Itasca,lever
LINQ,Staffing and Recruiting,201-500,Wilmington,lever
MGAC,Construction,201-500,Washington,lever
WalkMe™,Software Development,,San Francisco,lever
Meter,Software Development,51-200,San Francisco,lever
Second Front Systems,Software Development,51-200,Wilmington,lever
Angle Health,Insurance,51-200,San Francisco,lever
Headlight,Advertising Services,51-200,San Francisco,lever
IDMWORKS,IT Services and IT Consulting,51-200,Coral Gables,lever
Kindred,Travel Arrangements,"10,000+",San Francisco,lever
StimLabs,Medical Equipment Manufacturing,201-500,Roswell,lever
LoadSmart,"Technology, Information and Internet",11-50,New York,lever
True Zero Technologies,IT Services and IT Consulting,11-50,Annandale,lever
SingerLewak LLP,Accounting,201-500,Los Angeles,lever
OptionMetrics,Financial Services,51-200,New York,lever
a.k.a. Brands,Retail,501-1000,West Hollywood,lever
Cuningham,Architecture and Planning,201-500,Work From Anywhere,lever
Ionic Partners,Investment Management,11-50,Austin,lever
TrustArc,Software Development,201-500,San Francisco,lever
Beghou Consulting,Business Consulting and Services,201-500,Evanston,lever
Cleo (hicleo.com),Wellness and Fitness Services,51-200,San Francisco,lever
Kensho Technologies,Software Development,51-200,Cambridge,lever
Legacy,Wellness and Fitness Services,201-500,New York,lever
Zadara Storage,Professional Services,51-200,Irvine,lever
Anagram,Hospitals and Health Care,11-50,San Francisco,lever
Token,Computer and Network Security,51-200,Rochester,lever
airSlate,Software Development,501-1000,Brookline,lever
Medici,Hospitals and Health Care,201-500,Austin,lever
Apex - Spacecraft Manufacturing,Defense and Space Manufacturing,51-200,Los Angeles,lever
"Progressive Design, Inc.",Engineering Services,51-200,Midlothian,lever
Virtasant,IT Services and IT Consulting,51-200,Austin,lever
Xpansiv,"Technology, Information and Internet",51-200,New York,lever
Victors Home Solutions,Construction,51-200,Canton,lever
Instrumental Inc.,Software Development,51-200,Palo Alto,lever
BETA TECHNOLOGIES,Aviation and Aerospace Component Manufacturing,,South Burlington,lever
Ketch,Software Development,51-200,San Francisco,lever
Crux,Software Development,51-200,San Francisco,lever
Sagepath Reply,IT Services and IT Consulting,51-200,Atlanta,lever
Double,Software Development,51-200,Brooklyn,lever
Layup Parts,Manufacturing,1-10,Huntington Beach,lever
Rainmaker Technology Corporation,Climate Technology Product Manufacturing,11-50,El Segundo,lever
Expressable,E-Learning Providers,51-200,Austin,lever
Mendix,Software Development,1001-5000,Boston,lever
Barbaricum,Government Relations Services,201-500,Washington,lever
IDT Corporation,Telecommunications,1001-5000,Newark,lever
Nava,Software Development,201-500,Washington,lever
Rocketship Public Schools,Education Administration Programs,501-1000,Redwood City,lever
Parallel Wireless,Telecommunications,501-1000,Nashua,lever
Aviatrix,Software Development,201-500,Santa Clara,lever
Diamond Foundry,Semiconductor Manufacturing,201-500,San Francisco,lever
Thrive Market,Wellness and Fitness Services,501-1000,Los Angeles,lever
Sofar Sounds,Musicians,501-1000,Somerville,lever
Smarsh,Software Development,1001-5000,Portland,lever
Willow,Financial Services,51-200,Boston,lever
Quantum Metric,Software Development,501-1000,Colorado Springs,lever
Color,Hospitals and Health Care,501-1000,Burlingame,lever
Quizlet,E-Learning Providers,201-500,San Francisco,lever
VTS,Software Development,501-1000,New York,lever
Gametime,Entertainment Providers,201-500,San Francisco,lever
Favor,"Technology, Information and Media",1001-5000,Delaware,lever
Mitek Systems,Computer and Network Security,501-1000,San Diego,lever
Mediaocean,Software Development,1001-5000,New York,lever
PingWind Inc.,IT Services and IT Consulting,51-200,Annandale,lever
Nium,Financial Services,1-10,San Francisco,lever
Creatio,Software Development,501-1000,Boston,lever
