company_name,company_industry,employee_count_range,city,platform
Renuity,Consumer Services,1001-5000,Coral Gables,icims
Marvin,Wholesale Building Materials,"5001-10,000",Warroad,icims
IES Communications,Telecommunications,1001-5000,Tempe,icims
HealthPRO Heritage,Hospitals and Health Care,"5001-10,000",Hunt Valley,icims
Margaritaville,Restaurants,"5001-10,000",Orlando,icims
Residence Inn by Marriott,Hospitality,"10,000+",Bethesda,icims
Great Day Improvements: A Family of Brands,Construction,1001-5000,Macedonia,icims
Indeed,"Technology, Information and Internet","10,000+",Austin,icims
Hines,Real Estate,"5001-10,000",Houston,icims
Ohio Living,Hospitals and Health Care,1001-5000,Westerville,icims
Wanzek Construction,Construction,1001-5000,Fargo,icims
Monarch Casino Resort Spa,Hospitality,1001-5000,Black Hawk,icims
Take 5 Oil Change,Motor Vehicle Manufacturing,1001-5000,Charlotte,icims
Retail Odyssey,Retail,201-500,Cincinnati,icims
Rural King,Retail,"5001-10,000",,icims
The Vitamin Shoppe,Retail,1001-5000,Secaucus,icims
Breakthru Beverage Group,Wholesale,"5001-10,000",Cicero,icims
PharMerica,Pharmaceutical Manufacturing,"5001-10,000",Louisville,icims
PT Solutions Physical Therapy,Hospitals and Health Care,1001-5000,Atlanta,icims
MasTec Utility Services,Construction,1001-5000,Woodbury,icims
Highgate Hotels,Hospitality,"5001-10,000",New York,icims
Wellpath,Hospitals and Health Care,"5001-10,000",Nashville,icims
Steampunk,IT Services and IT Consulting,201-500,McLean,icims
Cotiviti,IT Services and IT Consulting,"5001-10,000",South Jordan,icims
Consulate Health Care,Hospitals and Health Care,"5001-10,000",Maitland,icims
"Bio-Rad Laboratories, Inc.",Medical Equipment Manufacturing,"5001-10,000",Hercules,icims
"Modern Technology Solutions, Inc. (MTSI)",Space Research and Technology,,Alexandria,icims
Affordable Dentures & Implants,Hospitals and Health Care,"5001-10,000",Over 425+ Locations Nationwide ,icims
Southern Veterinary Partners,Veterinary Services,"5001-10,000",Birmingham,icims
Davidson Hospitality Group,Hospitality,"5001-10,000",Atlanta,icims
Proper House Group,Hospitality,11-50,Tampa,icims
INTEGRIS Health Community Hospital,Hospitals and Health Care,1001-5000,The Woodlands,icims
Network Building + Consulting,Telecommunications,201-500,Elkridge,icims
Teledyne Controls,Airlines and Aviation,1001-5000,El Segundo,icims
"National DCP, LLC",Food and Beverage Services,501-1000,Duluth,icims
Intercity Transit,Truck Transportation,201-500,Olympia,icims
Endologix,Manufacturing,201-500,Irvine,icims
"Nugget Market, Inc.",Retail,1001-5000,Davis,icims
KidsTLC,Mental Health Care,201-500,Olathe,icims
Midland Memorial Hospital,Hospitals and Health Care,1001-5000,Midland,icims
"EFP, LLC",Manufacturing,201-500,Elkhart,icims
"Acero Charter Schools, Inc.",Education,501-1000,Chicago,icims
Karyopharm Therapeutics Inc.,Pharmaceutical Manufacturing,201-500,Newton,icims
City of Overland Park,Government Administration,501-1000,Overland Park,icims
American Enterprise Institute,Think Tanks,501-1000,Washington,icims
Blue Heron,Architecture and Planning,201-500,Las Vegas,icims
Hepburn and Sons LLC,Business Consulting and Services,11-50,Manassas,icims
Noven Pharmaceuticals,Pharmaceutical Manufacturing,501-1000,Miami,icims
Roof Maxx,Consumer Services,51-200,Westerville,icims
"Tactical Engineering and Analysis, Inc.",IT Services and IT Consulting,51-200,San Diego,icims
Town and Country Resort,Hospitality,51-200,San Diego,icims
Life Center of Galax,Hospitals and Health Care,51-200,Galax,icims
Medical Center Ophthalmology Associates,Hospitals and Health Care,51-200,San Antonio,icims
Triple-D,Manufacturing,51-200,Nicholasville,icims
Mirror Lake Recovery Center,Hospitals and Health Care,51-200,Burns,icims
The Westin La Paloma Resort & Spa,Hospitality,"10,000+",Bethesda,icims
Columbia River Veterinary Specialists,Hospitals and Health Care,51-200,Vancouver,icims
Liquidity Services,"Transportation, Logistics, Supply Chain and Storage",,Bethesda,icims
Urban Science,Motor Vehicle Manufacturing,501-1000,Detroit,icims
ACS - Engineer. Integrate. Build.,Construction,201-500,Verona,icims
"Ocular Therapeutix, Inc.",Pharmaceutical Manufacturing,201-500,Bedford,icims
Midland Industries,Wholesale Building Materials,51-200,Kansas City,icims
Palmetto Citizens Federal Credit Union,Banking,201-500,Columbia,icims
City of Hoover,Government Administration,201-500,Birmingham,icims
Bassett Services,Construction,51-200,Plainfield,icims
Merit Dental,Dentists,"5001-10,000",Irvine,icims
Parker & Sons,Utilities,501-1000,Phoenix,icims
Advantage Care Health Centers,Medical Practices,51-200,Brookville,icims
Robin Hill Farm,Hospitals and Health Care,51-200,Deering,icims
Claro Enterprise Solutions,Telecommunications,201-500,Miramar,icims
SSM Health Physical Therapy,Hospitals and Health Care,"10,000+",Bridgeton,icims
Hospice of North Carolina,Hospitals and Health Care,1001-5000,Murphy,icims
Sherman Oaks Hospital,Hospitals and Health Care,"10,000+",Sherman Oaks,icims
Ventra Health,Hospitals and Health Care,1001-5000,Dallas,icims
NCYBER,Software Development,11-50,Columbia ,icims
Toomey Residential and Community Services,Individual and Family Services,51-200,Syracuse,icims
SDI LaFarga,Mining,11-50,New Haven,icims
Sanctuary Beach Resort,Hospitality,201-500,Marina,icims
Best Home Services,Construction,201-500,Naples,icims
Harver,Software Development,201-500,New York,icims
Marriott Jacksonville,Hospitality,11-50,Jacksonville,icims
Dignity Health Physical Therapy,Hospitals and Health Care,11-50,Las Vegas,icims
All Temps Personnel Services,Staffing and Recruiting,11-50,Corpus Christi,icims
"Baker Brothers Plumbing, Air & Electric",Construction,201-500,Mesquite,icims
Salude,Wellness and Fitness Services,51-200,Suwanee,icims
Country View Family Farms,Farming,501-1000,Middletown,icims
Hope Advanced Veterinary Center,Hospitals and Health Care,501-1000,Westport,icims
OPKO Health,Research Services,1001-5000,Miami,icims
"Clinton Health Access Initiative, Inc.",Non-profit Organizations,1001-5000,Boston,icims
Andy's Statewide Heating & Air Conditioning,Construction,11-50,Orion Township,icims
Vermilion Hospital,Retail,1-10,Lafayette,icims
Peoples Natural Gas,Utilities,501-1000,Pittsburgh,icims
Springtide Project Services,Semiconductor Manufacturing,11-50,Albany,icims
Amrit Ocean Resort & Residences,Hospitality,51-200,Singer Island - Riviera Beach ,icims
"Bluehawk LLC, Intelligence Services",Defense and Space Manufacturing,51-200,,icims
Apple Air Heating & Cooling,Consumer Services,11-50,Farmingdale,icims
Marathon Asset Management,Financial Services,201-500,New York,icims
ELCO Chevrolet Cadillac,Retail Motor Vehicles,51-200,Ballwin,icims
United Engines,Machinery Manufacturing,201-500,Oklahoma City,icims
Carolina Orthodontics & Children's Dentistry,Medical Practices,11-50,Cary,icims
Cornerstone Relocation Group,Human Resources Services,51-200,Basking Ridge,icims
Hampton Inn Laredo,Hospitality,,Laredo,icims
